14/02/2018 02:33:16 am - IMG CRON - Image: 167, Task: 39, Done
14/02/2018 02:33:21 am - IMG CRON - Image: 450, Task: 5, Done
14/02/2018 02:36:27 am - IMG CRON - Image: 442, Task: 6, Done
14/02/2018 02:36:31 am - IMG CRON - Image: 438, Task: 7, Done
14/02/2018 02:36:36 am - IMG CRON - Image: 437, Task: 8, Done
14/02/2018 02:36:40 am - IMG CRON - Image: 436, Task: 9, Done
14/02/2018 02:41:22 am - IMG CRON - Image: 433, Task: 10, Done
14/02/2018 02:41:26 am - IMG CRON - Image: 403, Task: 11, Done
14/02/2018 02:41:30 am - IMG CRON - Image: 369, Task: 12, Done
14/02/2018 02:41:34 am - IMG CRON - Image: 347, Task: 13, Done
14/02/2018 02:46:44 am - IMG CRON - Image: 325, Task: 14, Done
14/02/2018 02:46:48 am - IMG CRON - Image: 324, Task: 15, Done
14/02/2018 02:46:55 am - IMG CRON - Image: 320, Task: 16, Done
14/02/2018 02:47:01 am - IMG CRON - Image: 299, Task: 17, Done
14/02/2018 02:51:43 am - IMG CRON - Image: 295, Task: 18, Done
14/02/2018 02:51:47 am - IMG CRON - Image: 294, Task: 19, Done
12/03/2018 02:10:52 pm - IMG CRON - Image: 579, Task: 102, Fail, Array
(
)

13/03/2018 03:25:57 pm - IMG CRON - Image: 586, Task: 106, Done
13/03/2018 03:26:00 pm - IMG CRON - Image: 585, Task: 105, Done
13/03/2018 03:26:03 pm - IMG CRON - Image: 584, Task: 104, Done
13/03/2018 03:26:06 pm - IMG CRON - Image: 583, Task: 103, Done
16/04/2018 03:45:39 am - IMG CRON - Image: 608, Task: 108, Done
16/04/2018 03:45:43 am - IMG CRON - Image: 607, Task: 107, Done
16/04/2018 03:55:56 am - IMG CRON - Image: 612, Task: 109, Done
16/04/2018 04:00:48 am - IMG CRON - Image: 617, Task: 112, Done
16/04/2018 04:00:53 am - IMG CRON - Image: 616, Task: 111, Done
16/04/2018 04:00:53 am - IMG CRON - Image: 615, Task: 110, Fail, 0
08/05/2018 10:52:13 pm - IMG CRON - Image: 645, Task: 113, Fail, Array
(
)

08/05/2018 11:26:13 pm - IMG CRON - Image: 647, Task: 115, Done
08/05/2018 11:26:13 pm - IMG CRON - Image: 646, Task: 114, Fail, 0
08/05/2018 11:50:50 pm - IMG CRON - Image: 653, Task: 116, Done
